window_id,run_id,window_start_sec,window_end_sec,wheel_translation_sample_count,wheel_translation_availability_fraction,wheel_translation_error_abs_mean,wheel_translation_error_abs_p90,wheel_translation_error_rmse,wheel_translation_within_tolerance_fraction,wheel_translation_tolerance,wheel_rotation_sample_count,wheel_rotation_availability_fraction,wheel_rotation_error_abs_mean,wheel_rotation_error_abs_p90,wheel_rotation_error_rmse,wheel_rotation_within_tolerance_fraction,wheel_rotation_tolerance,imu_yaw_rate_sample_count,imu_yaw_rate_availability_fraction,imu_yaw_rate_error_abs_mean,imu_yaw_rate_error_abs_p90,imu_yaw_rate_error_rmse,imu_yaw_rate_within_tolerance_fraction,imu_yaw_rate_tolerance,lidar_translation_sample_count,lidar_translation_availability_fraction,lidar_translation_error_abs_mean,lidar_translation_error_abs_p90,lidar_translation_error_rmse,lidar_translation_within_tolerance_fraction,lidar_translation_tolerance
00_normal_p2l_v2:0040,00_normal_p2l_v2,27.98999999999997,28.38999999999997,20.0,1.0,0.03206377315863325,0.0992778140677612,0.060162315145981714,0.75,0.06,20.0,1.0,0.001473998742643835,0.004737142811561377,0.0024835761069398306,1.0,0.08,40.0,1.0,0.0021579183405915116,0.004689551969489327,0.004592666803931137,1.0,0.08,6.0,1.0,0.03813900162935591,0.07439502605914455,0.04779746005443543,1.0,0.12
00_normal_p2l_v2:0041,00_normal_p2l_v2,28.18999999999997,28.589999999999968,20.0,1.0,0.03437026953571397,0.0992778140677612,0.06063222013583852,0.75,0.06,20.0,1.0,0.0019291335355697329,0.004737142811561377,0.0026900068090226358,1.0,0.08,40.0,1.0,0.002524132025239895,0.004689551969489327,0.0047043385409015655,1.0,0.08,6.0,1.0,0.05774233159183877,0.0883322053026374,0.0633157938866542,1.0,0.12
00_normal_p2l_v2:0042,00_normal_p2l_v2,28.38999999999997,28.789999999999967,20.0,1.0,0.0023227814951208986,0.003497676740188218,0.007534088218656695,1.0,0.06,20.0,1.0,0.0005759410356846598,0.001367360477758424,0.0010474610494958366,1.0,0.08,40.0,1.0,0.00048390642216103767,0.001576217258720639,0.0010291104566690031,1.0,0.08,6.0,1.0,0.03449328727248826,0.07306398109058071,0.04547942367890025,1.0,0.12
00_normal_p2l_v2:0043,00_normal_p2l_v2,28.589999999999968,28.989999999999966,20.0,1.0,3.2570892744407386e-05,3.257192421028954e-05,3.257089275311546e-05,1.0,0.06,20.0,1.0,0.00024160634667988343,0.0002416156747753464,0.0002416063467835972,1.0,0.08,40.0,1.0,0.00011461955995243328,0.00019996783149687147,0.0001442275448991256,1.0,0.08,6.0,1.0,0.017309357614592763,0.03814519212720202,0.02307107719045383,1.0,0.12
00_normal_p2l_v2:0044,00_normal_p2l_v2,28.789999999999967,29.189999999999966,20.0,1.0,3.257228471280071e-05,3.257340682761289e-05,3.2572284723818706e-05,1.0,0.06,20.0,1.0,0.00024159406384438153,0.00024160340233408915,0.00024159406394828512,1.0,0.08,40.0,1.0,0.0001442995289415242,0.00027662293832310045,0.00017914181978530514,1.0,0.08,6.0,1.0,0.02451269764111899,0.054363749595583793,0.03288423830114158,1.0,0.12
00_normal_p2l_v2:0045,00_normal_p2l_v2,28.989999999999966,29.389999999999965,20.0,1.0,3.257376578586768e-05,3.2574899933779376e-05,3.257376579721918e-05,1.0,0.06,20.0,1.0,0.00024158177518456329,0.00024159111502619558,0.00024158177528849607,1.0,0.08,40.0,1.0,0.00020705913574527523,0.00039438610908455203,0.00025284115436877244,1.0,0.08,6.0,1.0,0.027910855680646603,0.06211313041105605,0.037068671746397185,1.0,0.12
00_normal_p2l_v2:0046,00_normal_p2l_v2,29.189999999999966,29.589999999999964,20.0,1.0,3.257525866391942e-05,3.257639433281723e-05,3.257525867531369e-05,1.0,0.06,20.0,1.0,0.00024156948579906234,0.0002415788257792357,0.00024156948590300272,1.0,0.08,40.0,1.0,0.00019049851358248388,0.00039438610908455203,0.00023969920501889434,1.0,0.08,6.0,1.0,0.027097069835978847,0.05116317066452243,0.033779994707954904,1.0,0.12
00_normal_p2l_v2:0047,00_normal_p2l_v2,29.389999999999965,29.789999999999964,20.0,1.0,3.257675299057905e-05,3.2577888756235575e-05,3.257675300197649e-05,1.0,0.06,20.0,1.0,0.00024155719636847323,0.0002415665363295821,0.0002415571964724183,1.0,0.08,40.0,1.0,0.0001424547438212438,0.00028235099316696615,0.00017500809097568439,1.0,0.08,6.0,1.0,0.02102265174313232,0.03817974751576192,0.0256017198689136,1.0,0.12
00_normal_p2l_v2:0048,00_normal_p2l_v2,29.589999999999964,29.989999999999963,20.0,1.0,3.257824737891435e-05,3.257938306078234e-05,3.257824739030984e-05,1.0,0.06,20.0,1.0,0.00024154490698499,0.000241554246900609,0.00024154490708893928,1.0,0.08,40.0,1.0,0.00015314688049731235,0.0003017095341923748,0.00018519252049550156,1.0,0.08,6.0,1.0,0.02806845254688828,0.04381167929081578,0.03183662564246914,1.0,0.12
00_normal_p2l_v2:0049,00_normal_p2l_v2,29.789999999999964,30.189999999999962,20.0,1.0,3.2579741647909e-05,3.258087721859093e-05,3.2579741659301764e-05,1.0,0.06,20.0,1.0,0.00024153261766202694,0.0002415419575319689,0.00024153261776598052,1.0,0.08,40.0,1.0,0.00015492396567529532,0.00035097721066254403,0.0001978953061657281,1.0,0.08,6.0,1.0,0.028224185369441684,0.04381167929081578,0.03232195176904807,1.0,0.12
00_normal_p2l_v2:0050,00_normal_p2l_v2,29.989999999999963,30.38999999999996,20.0,1.0,3.258123576616867e-05,3.25823712174933e-05,3.258123577755855e-05,1.0,0.06,20.0,1.0,0.00024152032839990433,0.00024152966822385528,0.00024152032850386222,1.0,0.08,40.0,1.0,0.00018801484196189866,0.00042844426962631123,0.0002396199952205244,1.0,0.08,6.0,1.0,0.018853876284109294,0.03289742519496666,0.023422750441139357,1.0,0.12
